CGId,CGCode,College Name,District ID,Pincode,Address
10990,"AK866","A.N.A INSTITUTE OF PHARMACEUTICAL SCIENCES & RESEARCH,BAREILLY [AK866]",13,243501,"13.5 km Bareilly - Delhi road, near rubber factory agras road ,Bareilly"
11212,"AK486","A.N.A.COLLEGE OF ENGINEERING & MANAGEMENT,BAREILLY [AK486]",13,243501,"13.5 Km. NH-24, Bareilly-Delhi Highway, Near Rubber Factory, Bareilly"
10794,"AK602","AASHLAR BUSINESS SCHOOL,MATHURA [AK602]",54,281122,"MAHUAN NH-2 ,NEAR TOLL PLAZA ,FARAH ,MATHURA"
12483,"AK1193","ABES BUSINESS SCHOOL [AK1193]",31,201009,"Ghaziabad-201009"
11169,"AK32","ABES ENGG.COLLEGE,GHAZIABAD [AK32]",31,201009,"Campus 1, 19th KM Stone, NH-24, Ghaziabad-201009, U.P."
10617,"AK290","ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD [AK290]",31,201009,"NH-24, 19TH KM STONE, VIJAY NAGAR, GHAZIABAD- 201009"
10738,"AK913","ABESIT COLLEGE OF PHARMACY , GHAZIABAD [AK913]",31,201009,"19 KM Stone NH-24 Vijay Nagar Ghaziabad"
10584,"AK643","ABHAY MEMORIAL TRUST GROUP OF INSTITUTIONS,ALLAHABAD [AK643]",3,212208,"366 Sallahpur, Akbarpur, Bamrauli, G.T. Road, Allahabad"
12468,"AK1126","ABHISHEK PHARMACY COLLEGE,CHANDAULI [AK1126]",21,232104,"Chandauli"
10618,"AK1036","ABSS INSTITUTE OF TECHNOLOGY , MEERUT [AK1036]",56,250001,"Salarpur, Mawana Road, Meerut - 250001"
11170,"AK312","ABSS INSTITUTE OF TECHNOLOGY, MEERUT,MEERUT [AK312]",56,250001,"Salarpur, Mawana Road, Meerut - 250001"
10816,"AK986","ACCURATE COLLEGE OF PHARMACY , GAUTAM BUDDHA NAGAR [AK986]",30,201310,"49, KNOWLEDGE PARK-III, GREATER NOIDA"
11035,"AK686","ACCURATE INSTITUTE OF ADVANCE MANAGEMENT,GAUTAM BUDDH NAGAR [AK686]",30,201301,"Plot No.- 49, Knowledge Park-III, Greater Noida"
10849,"AK805","ACCURATE INSTITUTE OF ARCHITECTURE & PLANNING,GAUTAM BUDDH NAGAR [AK805]",30,201306,"Plot No.- 49, Knowledge Park-III, Greater Noida"
11036,"AK225","ACCURATE INSTITUTE OF MANAGEMENT & TECHNOLOGY,GAUTAM BUDDH NAGAR [AK225]",30,201306,"Plot No.- 49, Knowledge Park-III, Greater Noida"
11171,"AK799","ACE COLLEGE OF ENGINEERING & MANAGEMENT,AGRA [AK799]",1,283202,"17 KM STONE, AGRA-KANPUR ROAD, NH-2 ETMADPUR, AGRA 283202"
10910,"AK41","ACHARYA NARENDRA DEV COLLEGE OF PHARMACY,GONDA [AK41]",33,271313,"Bhabhnan, Gonda - 271313"
11098,"AK952","ACME INSTITUTE OF PHARMACY , BAREILLY [AK952]",13,243001,"NH-24 VILL MEGI NAGLA P.O. RAJAU"
